timestamp_task;participant_ID;task_ID;event
56950;G07;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
59886;G07;2;Pop-up in map: savany a suche stepi
60946;G07;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
61298;G07;2;Pop-up in map: savany a suche stepi
62323;G07;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
65600;G07;2;Pop-up in map: savany a suche stepi
65855;G07;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
66858;G07;2;Pop-up in map: savany a suche stepi
69335;G07;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
73101;G07;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
74043;G07;2;Pop-up in map: savany a suche stepi
74716;G07;2;Pop-up in map: pouste a polopouste
76508;G07;2;Pop-up in map: pouste a polopouste
78421;G07;2;Pop-up in map: lesostepi a stepi
78848;G07;2;Pop-up in map: vegetace stredomorskeho typu
84078;G07;2;Pop-up in map: pouste a polopouste
85385;G07;2;Pop-up in map: savany a suche stepi
24044;G07;4;Zlato (hover - start)
24694;G07;4;Zlato (hover - end)
24934;G07;4;Zlato (click)
14065;G08;2;Pop-up in map: pouste a polopouste
19752;G08;2;Pop-up in map: savany a suche stepi
26901;G08;2;Pop-up in map: tropicke destne lesy
30221;G08;2;Pop-up in map: savany a suche stepi
30641;G08;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
31938;G08;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
36191;G08;2;Pop-up in map: savany a suche stepi
37508;G08;2;Pop-up in map: pouste a polopouste
39626;G08;2;Pop-up in map: pouste a polopouste
40015;G08;2;Pop-up in map: tropicke destne lesy
40446;G08;2;Pop-up in map: pouste a polopouste
15090;G08;4;Zlato (hover - start)
16127;G08;4;Zlato (click)
16127;G08;4;Zlato (hover - end)
42878;G09;4;Zlato (hover - start)
46313;G09;4;Zlato (click)
46313;G09;4;Zlato (hover - end)
11217;G10;2;Pop-up in map: pouste a polopouste
15305;G10;2;Pop-up in map: savany a suche stepi
16733;G10;2;Pop-up in map: savany a suche stepi
20833;G10;2;Pop-up in map: tropicke destne lesy
23208;G10;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
27465;G10;2;Pop-up in map: savany a suche stepi
32031;G10;2;Pop-up in map: pouste a polopouste
32648;G10;2;Pop-up in map: vegetace stredomorskeho typu
12577;G11;2;Pop-up in map: pouste a polopouste
17183;G11;2;Pop-up in map: pouste a polopouste
17893;G11;2;Pop-up in map: pouste a polopouste
20455;G11;2;Pop-up in map: pouste a polopouste
25655;G11;2;Pop-up in map: savany a suche stepi
26230;G11;2;Pop-up in map: pouste a polopouste
27837;G11;2;Pop-up in map: pouste a polopouste
28693;G11;2;Pop-up in map: pouste a polopouste
30472;G11;2;Pop-up in map: savany a suche stepi
31098;G11;2;Pop-up in map: pouste a polopouste
32297;G11;2;Pop-up in map: savany a suche stepi
33375;G11;2;Pop-up in map: subtropicke lesy (suche i vlhke)
34285;G11;2;Pop-up in map: savany a suche stepi
35293;G11;2;Pop-up in map: tropicke destne lesy
35520;G11;2;Pop-up in map: savany a suche stepi
39137;G11;2;Pop-up in map: lesostepi a stepi
39823;G11;2;Pop-up in map: savany a suche stepi
40083;G11;2;Pop-up in map: pouste a polopouste
40783;G11;2;Pop-up in map: tropicke destne lesy
41167;G11;2;Pop-up in map: savany a suche stepi
42853;G11;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
43452;G11;2;Pop-up in map: tropicke destne lesy
43858;G11;2;Pop-up in map: savany a suche stepi
44822;G11;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
47767;G11;2;Pop-up in map: tropicke destne lesy
54035;G11;2;Pop-up in map: tropicke destne lesy
55103;G11;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
55925;G11;2;Pop-up in map: tropicke destne lesy
56206;G11;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
57303;G11;2;Pop-up in map: savany a suche stepi
57745;G11;2;Pop-up in map: lesostepi a stepi
58606;G11;2;Pop-up in map: pouste a polopouste
59650;G11;2;Pop-up in map: savany a suche stepi
60095;G11;2;Pop-up in map: lesostepi a stepi
60401;G11;2;Pop-up in map: savany a suche stepi
61401;G11;2;Pop-up in map: lesostepi a stepi
62268;G11;2;Pop-up in map: savany a suche stepi
63511;G11;2;Pop-up in map: vegetace stredomorskeho typu
64446;G11;2;Pop-up in map: pouste a polopouste
65051;G11;2;Pop-up in map: savany a suche stepi
66835;G11;2;Pop-up in map: lesostepi a stepi
68356;G11;2;Pop-up in map: pouste a polopouste
69196;G11;2;Pop-up in map: vegetace stredomorskeho typu
71888;G11;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
73066;G11;2;Pop-up in map: savany a suche stepi
74526;G11;2;Pop-up in map: tropicke destne lesy
76203;G11;2;Pop-up in map: vegetace mocalu a bazin
77791;G11;2;Pop-up in map: pouste a polopouste
75396;G11;4;Zlato (hover - start)
76300;G11;4;Zlato (click)
76300;G11;4;Zlato (hover - end)
28491;G12;4;Zlato (hover - start)
37583;G12;4;Zlato (hover - end)
38358;G12;4;Zlato (click)
83327;G12;4;Zlato (click)
94806;G12;4;Zlato (hover - start)
10961;G12;2;Pop-up in map: pouste a polopouste
11257;G12;2;Pop-up in map: listnate, jehlicnate a smisene lesy mirneho pasu
11912;G12;2;Pop-up in map: subtropicke lesy (suche i vlhke)
12434;G12;2;Hover in legend: tundry a lesotundry
34504;G12;2;Pop-up in map: vegetace stredomorskeho typu
39624;G12;2;Pop-up in map: savany a suche stepi
39919;G12;2;Pop-up in map: pouste a polopouste
36906;G13;4;Zlato (hover - start)
37696;G13;4;Zlato (click)
37696;G13;4;Zlato (hover - end)
5510;G13;2;Pop-up in map: savany a suche stepi
13493;G13;2;Pop-up in map: savany a suche stepi
16811;G13;2;Hover in legend: trvale zalednene oblasti
17536;G13;2;Hover in legend: tundry a lesotundry
18791;G13;2;Hover in legend: tajga
19645;G13;2;Hover in legend: alpinska a vysokohorska vegetace
20886;G13;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
22646;G13;2;Hover in legend: tajga
22926;G13;2;Hover in legend: trvale zalednene oblasti
27735;G13;2;Hover in legend: tundry a lesotundry
30643;G13;2;Hover in legend: tajga
30951;G13;2;Hover in legend: alpinska a vysokohorska vegetace
33923;G13;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
38100;G13;2;Hover in legend: lesostepi a stepi
38715;G13;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
39028;G13;2;Hover in legend: lesostepi a stepi
42598;G13;2;Hover in legend: lesostepi a stepi
44674;G13;2;Hover in legend: vegetace stredomorskeho typu
50358;G13;2;Hover in legend: subtropicke lesy (suche i vlhke)
57943;G13;2;Hover in legend: pouste a polopouste
68246;G13;2;Hover in legend: savany a suche stepi
74049;G13;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
79374;G13;2;Hover in legend: tropicke destne lesy
83526;G13;2;Hover in legend: vegetace mocalu a bazin
157439;G14;4;Zlato (hover - start)
157807;G14;4;Zlato (click)
157807;G14;4;Zlato (hover - end)
12160;G14;2;Pop-up in map: tropicke destne lesy
13722;G14;2;Pop-up in map: tropicke destne lesy
18589;G14;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
21405;G14;2;Pop-up in map: tropicke destne lesy
22337;G14;2;Pop-up in map: tropicke destne lesy
23665;G14;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
25695;G14;2;Pop-up in map: savany a suche stepi
27575;G14;2;Pop-up in map: savany a suche stepi
31910;G14;2;Pop-up in map: savany a suche stepi
32652;G14;2;Pop-up in map: savany a suche stepi
33027;G14;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
33412;G14;2;Pop-up in map: savany a suche stepi
33678;G14;2;Pop-up in map: lesostepi a stepi
33982;G14;2;Pop-up in map: pouste a polopouste
34867;G14;2;Pop-up in map: savany a suche stepi
36293;G14;2;Pop-up in map: pouste a polopouste
36788;G14;2;Pop-up in map: savany a suche stepi
37173;G14;2;Pop-up in map: pouste a polopouste
40923;G14;2;Pop-up in map: subtropicke lesy (suche i vlhke)
41980;G14;2;Pop-up in map: subtropicke lesy (suche i vlhke)
42085;G14;2;Pop-up in map: pouste a polopouste
42537;G14;2;Pop-up in map: pouste a polopouste
43027;G14;2;Pop-up in map: savany a suche stepi
43775;G14;2;Pop-up in map: vegetace stredomorskeho typu
33450;G15;2;Hover in legend: trvale zalednene oblasti
36594;G15;2;Hover in legend: savany a suche stepi
37317;G15;2;Hover in legend: lesostepi a stepi
38435;G15;2;Hover in legend: trvale zalednene oblasti
43317;G15;2;Hover in legend: tundry a lesotundry
43679;G15;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
44009;G15;2;Hover in legend: savany a suche stepi
47834;G15;2;Hover in legend: trvale zalednene oblasti
48082;G15;2;Hover in legend: savany a suche stepi
48335;G15;2;Hover in legend: tropicke destne lesy
48629;G15;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
51500;G15;2;Hover in legend: tropicke destne lesy
54197;G15;2;Hover in legend: alpinska a vysokohorska vegetace
18136;G16;2;Pop-up in map: savany a suche stepi
23633;G16;2;Pop-up in map: pouste a polopouste
23909;G16;2;Pop-up in map: vegetace stredomorskeho typu
24346;G16;2;Pop-up in map: pouste a polopouste
24781;G16;2;Pop-up in map: vegetace stredomorskeho typu
28256;G16;2;Pop-up in map: pouste a polopouste
29421;G16;2;Pop-up in map: pouste a polopouste
30179;G16;2;Pop-up in map: lesostepi a stepi
31088;G16;2;Pop-up in map: lesostepi a stepi
32364;G16;2;Pop-up in map: savany a suche stepi
37142;G16;2;Pop-up in map: savany a suche stepi
38061;G16;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
40812;G16;2;Pop-up in map: savany a suche stepi
41074;G16;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
41747;G16;2;Pop-up in map: tropicke destne lesy
43926;G16;2;Pop-up in map: savany a suche stepi
44284;G16;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
46377;G16;2;Pop-up in map: savany a suche stepi
46964;G16;2;Pop-up in map: pouste a polopouste
47144;G16;2;Pop-up in map: savany a suche stepi
47782;G16;2;Pop-up in map: savany a suche stepi
48297;G16;2;Pop-up in map: pouste a polopouste
51426;G16;2;Pop-up in map: vegetace stredomorskeho typu
52207;G16;2;Pop-up in map: pouste a polopouste
52482;G16;2;Pop-up in map: vegetace stredomorskeho typu
53442;G16;2;Pop-up in map: alpinska a vysokohorska vegetace
54051;G16;2;Pop-up in map: subtropicke lesy (suche i vlhke)
54374;G16;2;Pop-up in map: pouste a polopouste
54834;G16;2;Pop-up in map: alpinska a vysokohorska vegetace
56464;G16;2;Pop-up in map: pouste a polopouste
57032;G16;2;Pop-up in map: vegetace stredomorskeho typu
59866;G16;2;Pop-up in map: pouste a polopouste
60546;G16;2;Pop-up in map: savany a suche stepi
64056;G16;4;Zlato (hover - start)
66758;G16;4;Zlato (click)
66758;G16;4;Zlato (hover - end)
28943;G17;4;Zlato (hover - start)
30090;G17;4;Zlato (click)
30090;G17;4;Zlato (hover - end)
13582;G17;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
14267;G17;2;Hover in legend: lesostepi a stepi
15145;G17;2;Hover in legend: savany a suche stepi
16597;G17;2;Hover in legend: pouste a polopouste
23343;G17;2;Hover in legend: savany a suche stepi
25828;G17;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
26813;G17;2;Hover in legend: tropicke destne lesy
27171;G17;2;Hover in legend: vegetace mocalu a bazin
27598;G17;2;Hover in legend: tropicke destne lesy
28133;G17;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
30605;G17;2;Hover in legend: tropicke destne lesy
32050;G17;2;Hover in legend: vegetace mocalu a bazin
32396;G17;2;Hover in legend: tropicke destne lesy
36936;G17;2;Hover in legend: vegetace mocalu a bazin
40015;G17;2;Hover in legend: vegetace mocalu a bazin
41041;G17;2;Hover in legend: subtropicke lesy (suche i vlhke)
41481;G17;2;Hover in legend: tajga
41858;G17;2;Hover in legend: tundry a lesotundry
42448;G17;2;Hover in legend: trvale zalednene oblasti
43071;G17;2;Hover in legend: tundry a lesotundry
44078;G17;2;Hover in legend: tajga
47270;G17;2;Pop-up in map: pouste a polopouste
48536;G17;2;Hover in legend: tajga
49140;G17;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
49471;G17;2;Hover in legend: alpinska a vysokohorska vegetace
50563;G17;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
50970;G17;2;Hover in legend: subtropicke lesy (suche i vlhke)
13938;G18;4;Zlato (hover - start)
14528;G18;4;Zlato (hover - end)
15735;G18;4;Zlato (hover - start)
27880;G18;4;Zlato (hover - end)
35929;G18;4;Zlato (hover - start)
36283;G18;4;Zlato (hover - end)
36919;G18;4;Zlato (hover - start)
5910;G18;2;Pop-up in map: savany a suche stepi
6775;G18;2;Pop-up in map: pouste a polopouste
14925;G18;2;Pop-up in map: savany a suche stepi
18555;G18;2;Pop-up in map: tropicke destne lesy
26858;G18;2;Pop-up in map: tropicke destne lesy
28878;G18;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
29851;G18;2;Pop-up in map: savany a suche stepi
31225;G18;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
33661;G18;2;Pop-up in map: savany a suche stepi
35398;G18;2;Pop-up in map: savany a suche stepi
36106;G18;2;Pop-up in map: pouste a polopouste
43158;G18;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
43408;G18;2;Pop-up in map: tropicke destne lesy
23654;G19;4;Zlato (click)
14032;G19;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
14513;G19;2;Hover in legend: lesostepi a stepi
16793;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
17180;G19;2;Pop-up in map: tropicke destne lesy
17730;G19;2;Pop-up in map: tropicke destne lesy
19400;G19;2;Pop-up in map: tropicke destne lesy
21553;G19;2;Pop-up in map: savany a suche stepi
21992;G19;2;Pop-up in map: pouste a polopouste
26327;G19;2;Pop-up in map: savany a suche stepi
26768;G19;2;Pop-up in map: pouste a polopouste
27137;G19;2;Pop-up in map: savany a suche stepi
28928;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
31215;G19;2;Pop-up in map: tropicke destne lesy
33063;G19;2;Pop-up in map: tropicke destne lesy
34643;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
