"1701353565469,U03,0,24528,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",762.0,569.0,762.0,482.0"
"1701353566264,U03,0,25323,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",811.0,665.0,811.0,578.0"
1701353566394,U03,0,25453,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=4.6&x=-40.931&y=70.666&m=m,,,,;;;
1701353571877,U03,0,30936,pointerdown,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > svg.Ico.Ico--vrstvy[width='24'][height='24'][viewBox='0 0 24 24'] > path[d='M1.2 5.4H16.8L24 12.6H8.4L1.2 5.4zm-1.2 6h4.8l2.4 2.4H18l4.8 4.8H7.2L0 11.4z'][fill-rule='evenodd'] > ,1595.0,127.0,1595.0,40.0;;;
1701353572031,U03,0,31090,pointerup,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > svg.Ico.Ico--vrstvy[width='24'][height='24'][viewBox='0 0 24 24'] > path[d='M1.2 5.4H16.8L24 12.6H8.4L1.2 5.4zm-1.2 6h4.8l2.4 2.4H18l4.8 4.8H7.2L0 11.4z'][fill-rule='evenodd'] > ,1595.0,127.0,1595.0,40.0;;;
"1701353579213,U03,0,38272,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li[data-mapset='cervencove-teploty-vzduchu'] > div.illustration[style='background-image: linear-gradient(rgba(0, 0, 0, 0), rgba(0, 0, 0, 0), rgb(0, 0, 0)), url('src/img/maps/A3_cervencove-teploty.jpg')";"'] > "",434.0,627.0,434.0,540.0";;
"1701353579350,U03,0,38409,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li[data-mapset='cervencove-teploty-vzduchu'] > div.illustration[style='background-image: linear-gradient(rgba(0, 0, 0, 0), rgba(0, 0, 0, 0), rgb(0, 0, 0)), url('src/img/maps/A3_cervencove-teploty.jpg')";"'] > "",434.0,627.0,434.0,540.0";;
1701353580575,U03,0,39634,url_change,https://atlas.mapy.cz/?p=010011&id=cervencove-teploty-vzduchu&n=m&z=4.6&x=-40.931&y=70.666&m=m,,,,;;;
1701353582297,U03,0,41356,mouse_wheel_start,-100,,,,;;;
1701353582297,U03,0,41356,mouse_wheel_end,-100,,,,;;;
