session_id,timestamp_ms_since_start,local_time,iso_time,task_index,task_label,event_type,element_tag,element_id,element_classes,element_text,css_path,x,y,viewport_w,viewport_h,button,button_label,deltaY,deltaMode,wheel_direction,zoom_hint,key,code,ctrl,alt,shift,extra_json
P02,1,2025-11-18T11:04:08.747+01:00,2025-11-18T10:04:08.747Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",session_start,,,,,,,,,,,,,,,,,,,,,"{""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0"",""viewport_w"":1920,""viewport_h"":1067,""url"":""https://vanicektomas.github.io/3D-Geo-Vis_experiment/3d_geo_vis-main/3d_geo_vis-main/index.html"",""session_id"":""ess10qvy8v4mi4ep8dm""}"
P02,0,2025-11-18T11:04:24.248+01:00,2025-11-18T10:04:24.248Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",session_start,,,,,,,,,,,,,,,,,,,,,"{""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0"",""viewport_w"":1920,""viewport_h"":1016,""url"":""https://vanicektomas.github.io/3D-Geo-Vis_experiment/3d_geo_vis-main/3d_geo_vis-main/horizontal.html"",""session_id"":""y7xeobiosi8mi4epkc8""}"
P02,17481,2025-11-18T11:04:26.227+01:00,2025-11-18T10:04:26.227Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",task_start,,,,,,,,,,,,,,,,,,,,,
P02,2849263,2025-11-18T11:51:38.009+01:00,2025-11-18T10:51:38.010Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",session_page,,,,,,,,,,,,,,,,,,,,,"{""viewport_w"":1920,""viewport_h"":947,""url"":""https://vanicektomas.github.io/3D-Geo-Vis_experiment/3d_geo_vis-main/3d_geo_vis-main/index.html""}"
P02,0,2025-11-18T11:51:45.903+01:00,2025-11-18T10:51:45.903Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",session_start,,,,,,,,,,,,,,,,,,,,,"{""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0"",""viewport_w"":1920,""viewport_h"":896,""url"":""https://vanicektomas.github.io/3D-Geo-Vis_experiment/3d_geo_vis-main/3d_geo_vis-main/3D_graduated.html"",""session_id"":""d9xdg4duokwmi4gegz3""}"
P02,16693,2025-11-18T11:52:02.596+01:00,2025-11-18T10:52:02.596Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",focus,,,,,,,,,,,,,,,,,,,,,
P02,19143,2025-11-18T11:52:05.046+01:00,2025-11-18T10:52:05.046Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",click,div,,esri-view-surface.esri-view-surface--touch-none,,html:nth-of-type(1) > body:nth-of-type(1) > div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(1),1064,465,1920,896,0,left,,,,,,,,,,
P02,21210,2025-11-18T11:52:07.113+01:00,2025-11-18T10:52:07.113Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",wheel,div,symbologyControls,,Color Ramp Transparency Diameter Diameter (m): Extrusion Base Height: Extrusi…,html:nth-of-type(1) > body:nth-of-type(1) > div:nth-of-type(3) > div:nth-of-type(2) > div:nth-of-type(1),1732,348,1920,896,,,132,0,down,zoom_out,,,,,,
P02,21393,2025-11-18T11:52:07.296+01:00,2025-11-18T10:52:07.296Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",wheel,div,symbologyControls,,Color Ramp Transparency Diameter Diameter (m): Extrusion Base Height: Extrusi…,html:nth-of-type(1) > body:nth-of-type(1) > div:nth-of-type(3) > div:nth-of-type(2) > div:nth-of-type(1),1732,348,1920,896,,,132,0,down,zoom_out,,,,,,
P02,21521,2025-11-18T11:52:07.424+01:00,2025-11-18T10:52:07.424Z,1,"Úkol 1: Volně si prohlédněte a prozkoumejte aplikaci. Zkuste zjistit, jaké nabízí možnosti a jak se v ní orientujete. Cílem je seznámit se s rozhraním a ovládáním.",wheel,div,symbologyControls,,Color Ramp Transparency Diameter Diameter (m): Extrusion Base Height: Extrusi…,html:nth-of-type(1) > body:nth-of-type(1) > div:nth-of-type(3) > div:nth-of-type(2) > div:nth-of-type(1),1732,348,1920,896,,,132,0,down,zoom_out,,,,,,
